,Volumen [cm^3],Presión [Pa]
870,3.258,364.25
871,3.256,364.62
872,3.254,365.0
873,3.252,365.37
874,3.25,365.75
875,3.248,366.12
876,3.246,366.5
877,3.244,366.87
878,3.242,367.25
879,3.24,367.62
880,3.238,368.0
881,3.236,368.37
882,3.234,368.74
883,3.232,369.12
884,3.23,369.49
885,3.228,369.87
886,3.226,370.24
887,3.224,370.61
888,3.222,370.98
889,3.22,371.36
890,3.218,371.73
891,3.216,372.1
892,3.214,372.48
893,3.212,372.85
894,3.21,373.22
895,3.208,373.59
896,3.206,373.96
897,3.204,374.34
898,3.202,374.71
899,3.2,375.08
900,3.198,375.45
901,3.196,375.82
902,3.194,376.19
903,3.192,376.56
904,3.19,376.93
905,3.188,377.3
906,3.186,377.67
907,3.184,378.04
908,3.182,378.41
909,3.18,378.78
910,3.178,379.15
911,3.176,379.52
912,3.174,379.89
913,3.172,380.26
914,3.17,380.63
915,3.168,381.0
916,3.166,381.37
917,3.164,381.74
918,3.162,382.11
919,3.16,382.48
920,3.158,382.84
921,3.156,383.21
922,3.154,383.58
923,3.152,383.95
924,3.15,384.32
925,3.148,384.68
926,3.146,385.05
927,3.144,385.42
928,3.142,385.79
929,3.14,386.15
930,3.138,386.52
931,3.136,386.89
932,3.134,387.25
933,3.132,387.62
934,3.13,387.98
935,3.128,388.35
936,3.126,388.72
937,3.124,389.08
938,3.122,389.45
939,3.12,389.81
940,3.118,390.18
941,3.116,390.54
942,3.114,390.91
943,3.112,391.27
944,3.11,391.64
945,3.108,392.0
946,3.106,392.37
947,3.104,392.73
948,3.102,393.09
949,3.1,393.46
950,3.098,393.82
951,3.096,394.19
952,3.094,394.55
953,3.092,394.91
954,3.09,395.28
955,3.088,395.64
956,3.086,396.0
957,3.084,396.36
958,3.082,396.73
959,3.08,397.09
960,3.078,397.45
961,3.076,397.81
962,3.074,398.17
963,3.072,398.54
964,3.07,398.9
965,3.068,399.26
966,3.066,399.62
967,3.064,399.98
968,3.062,400.34
969,3.06,400.7
970,3.058,401.06
971,3.056,401.42
972,3.054,401.78
973,3.052,402.14
974,3.05,402.5
975,3.048,402.86
976,3.046,403.22
977,3.044,403.58
978,3.042,403.94
979,3.04,404.3
980,3.038,404.66
981,3.036,405.02
982,3.034,405.38
983,3.032,405.74
984,3.03,406.09
985,3.028,406.45
986,3.026,406.81
987,3.024,407.17
988,3.022,407.53
989,3.02,407.88
990,3.018,408.24
991,3.016,408.6
992,3.014,408.95
993,3.012,409.31
994,3.01,409.67
995,3.008,410.03
996,3.006,410.38
997,3.004,410.74
998,3.002,411.09
999,3.0,411.45
